weeks_included,model,team_name,model_name,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name,eval_date
All,Unweighted median,EuroCOVIDhub,median,Cases,4,DK,1.55,1.47,0.2,1,-0,5,1,Denmark,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,DK,0.62,0.73,0.75,1,-0.08,4,1,Denmark,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,DK,0.62,0.66,0.75,1,-0.1,4,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,DK,0.84,0.74,0.88,1,0.1,8,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,DK,0.76,0.79,0.75,1,0.06,8,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,DK,0.73,0.72,0.71,1,0.06,7,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,DK,0.61,0.66,0.71,1,0.03,7,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,DK,0.66,0.59,1,1,-0.02,6,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,DK,0.66,0.52,1,1,-0.05,6,1,Denmark,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,DK,1.4,0.78,0.8,1,0.04,5,1,Denmark,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,DK,1.23,0.7,0.8,1,-0.04,5,1,Denmark,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,EE,0.25,0.39,1,1,-0.18,4,1,Estonia,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,EE,0.37,0.39,0.75,1,-0.3,4,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,EE,0.69,0.44,0.75,1,0.24,8,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,EE,0.93,0.47,0.62,1,0.28,8,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,EE,0.83,0.67,0.43,0.86,0.4,7,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,EE,0.98,0.72,0.43,0.86,0.37,7,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,EE,1,0.78,0.33,0.83,0.63,6,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,EE,1.11,0.81,0.33,0.83,0.58,6,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,EE,1.11,0.86,0.2,0.6,0.78,5,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,EE,1.08,0.84,0.2,0.8,0.74,5,1,Estonia,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,EE,0.95,0.54,0.25,1,0.38,4,1,Estonia,2021-05-03
